"entity_ID","LGM_ice","mean_consensus_full_class_1","mean_consensus_full_class_10","mean_consensus_full_class_11","mean_consensus_full_class_12","mean_consensus_full_class_2","mean_consensus_full_class_3","mean_consensus_full_class_4","mean_consensus_full_class_5","mean_consensus_full_class_6","mean_consensus_full_class_7","mean_consensus_full_class_8","mean_consensus_full_class_9","n_consensus_full_class_1","n_consensus_full_class_10","n_consensus_full_class_11","n_consensus_full_class_12","n_consensus_full_class_2","n_consensus_full_class_3","n_consensus_full_class_4","n_consensus_full_class_5","n_consensus_full_class_6","n_consensus_full_class_7","n_consensus_full_class_8","n_consensus_full_class_9"
130,358.186061,0.02991,15.58262,0.08405,21.43732,0,0.01994,0.26496,0.05128,12.49145,0.40456,0.24501,0,702,702,702,702,702,702,702,702,702,702,702,702
131,0,0.59524,4.71429,0,65,0.95238,0.57143,7.61905,0,6,8.02381,3.85714,0,42,42,42,42,42,42,42,42,42,42,42,42
132,0,0.37559,0.8216,0,27.65728,5.76526,0.28169,5.0892,0,8.13615,3.12207,0.49296,0,213,213,213,213,213,213,213,213,213,213,213,213
133,0,0.26587,0,0,1.53571,28.99603,7.90873,7.46032,0.19841,12.45238,22.95635,0.55952,0,252,252,252,252,252,252,252,252,252,252,252,252
134,0,0.50151,0,0.35994,1.4503,25.19428,1.79819,10.10542,0.63554,10.44729,37.8494,0.26958,0,664,664,664,664,664,664,664,664,664,664,664,664
135,0,1.09402,0,0,15.39316,25.05983,0.79487,5.34188,0.13675,1.05128,28.37607,1.77778,0,117,117,117,117,117,117,117,117,117,117,117,117
136,0,0.60989,0,0.00824,3.15934,9.70879,4.02198,11.22253,0.32967,12.81593,48.69231,0.42582,0,364,364,364,364,364,364,364,364,364,364,364,364
137,0,0.44389,0.0536,0,1.35008,6.66499,3.35176,7.43551,0.32161,29.16918,31.31658,0.41541,0,597,597,597,597,597,597,597,597,597,597,597,597
138,0,0.29579,0.34799,0.02015,1.78205,7.85531,4.88553,5.94689,0.32051,26.42308,25.9826,0.34066,0,1092,1092,1092,1092,1092,1092,1092,1092,1092,1092,1092,1092
139,0,1.06704,0,0.10615,16.67598,7.13966,3.56983,8.37989,1.87709,7.05028,35.3743,1.58659,0,179,179,179,179,179,179,179,179,179,179,179,179
140,0,9.78571,0,0.54762,41.90476,0.44048,0,12.40476,13.61905,12.63095,6.72619,1.83333,0,84,84,84,84,84,84,84,84,84,84,84,84
141,0,12.82143,0,0.18506,7.39286,0.02922,0,21.8539,16.93182,30.05195,10.52922,0.18831,0,308,308,308,308,308,308,308,308,308,308,308,308
142,0,18.30362,0.04457,0.19499,8.87744,0.03343,0,15.4429,41.86351,12.10864,2.62953,0.46797,0,359,359,359,359,359,359,359,359,359,359,359,359
143,0,0,0,0,82.85714,0,0,7.71429,7.28571,0,0,2.14286,0,14,14,14,14,14,14,14,14,14,14,14,14
144,0,5.53846,0,1.07692,74.69231,0,0,6.61538,2.15385,3,5.07692,1.69231,0,13,13,13,13,13,13,13,13,13,13,13,13
145,0,3.69444,0,15.11389,4.71389,2.04722,2.04722,15.83889,28.64444,5.91944,20.99444,0.33056,0.57778,360,360,360,360,360,360,360,360,360,360,360,360
146,0,13.20464,0.00633,7.77426,2.5443,6.59388,8.53481,25.20675,17.54114,2.33439,14.86076,0.64662,0.75633,948,948,948,948,948,948,948,948,948,948,948,948
147,0,4.16463,0.06504,9.88821,3.81707,4.85772,5.72967,18.6687,35.57927,6.51829,10.05691,0.26016,0.38415,492,492,492,492,492,492,492,492,492,492,492,492
